date,HUFL,HULL,MUFL, MULL,LUFL,LULL,OT
08.05.2017,24.7,15.1,736.2,759.7,74,1,36
09.05.2017,28.5,15.7,735,758.1,62,1,35
10.05.2017,23.9,19.4,734.9,758.1,86,1,36
11.05.2017,21.9,18.3,739.3,762.9,92,0,26
12.05.2017,27.1,18.3,735.2,758.5,84,1,43
13.05.2017,34.5,18,730.9,753.7,44,2,32
14.05.2017,23.4,20.8,736.6,760,85,1,45
15.05.2017,26.9,19.2,738.1,761.5,69,2,41
16.05.2017,28.7,19,735.5,758.7,55,1,41
17.05.2017,33.1,18.5,732,754.8,41,2,59
18.05.2017,29.6,23.6,733.7,756.7,59,3,44
19.05.2017,31.5,21.7,730.4,753.1,65,2,44
20.05.2017,30.2,23.7,729.9,752.8,85,2,42
21.05.2017,23.4,22.1,731.3,754.3,89,1,47
22.05.2017,23.2,21.4,733.5,756.7,94,1,46
23.05.2017,26.1,20.8,736.9,760.2,71,2,52
24.05.2017,20.9,18.4,739.9,763.6,87,1,54
25.05.2017,26.6,17.6,738.3,761.6,61,1,45
26.05.2017,30.5,19.2,735.7,758.8,58,1,46
27.05.2017,32.2,21.2,734.3,757.3,60,2,46
28.05.2017,34.6,21.6,730.8,753.4,51,2,45
29.05.2017,30.1,23.2,731.5,754.4,65,0,41
30.05.2017,27.8,22.5,732.3,755.3,75,1,35
31.05.2017,26.6,22.9,728.3,751.2,81,3,70
01.06.2017,25.5,22.2,730.8,753.8,78,1,42
02.06.2017,31.4,21.2,727.8,750.4,59,1,29
03.06.2017,26.5,24.9,729.2,752,76,0,45
04.06.2017,23.2,21.5,729.9,753,95,0,21
05.06.2017,30.8,21.5,732.3,755.2,72,1,43
06.06.2017,30.9,22.2,733.8,756.7,67,1,52
07.06.2017,34.6,22.4,730,752.6,53,2,41
08.06.2017,32.5,26,729,751.6,65,2,43
09.06.2017,29.5,24.4,729.3,752.2,87,2,63
10.06.2017,30.6,23.8,731.7,754.4,65,1,45
11.06.2017,28.9,24.1,732.2,755.1,73,2,47
12.06.2017,24.3,23.3,733,756.1,92,1,64
13.06.2017,23.4,22.5,733.9,757,93,1,50
14.06.2017,22.7,19.5,734.5,757.9,92,1,51
15.06.2017,19.7,18.7,734.9,758.3,95,1,37
16.06.2017,24.3,19.6,732.9,756.1,88,1,55
17.06.2017,30.1,20.9,731,753.8,75,1,57
18.06.2017,24.9,22.8,731.6,754.7,91,2,38
19.06.2017,26.3,22.1,731.3,754.3,83,1,62
20.06.2017,31.7,22.5,728.7,751.4,76,1,61
21.06.2017,34.9,23.1,727.9,750.4,66,2,57
22.06.2017,30.8,25.1,729.3,751.9,75,1,55
23.06.2017,29.7,25.7,728.4,751,82,1,63
24.06.2017,26.9,23.8,731.4,754.3,78,0,58
25.06.2017,24.2,21.5,734.1,757.3,81,1,48
26.06.2017,25.2,21.2,734.9,758.1,85,1,45
27.06.2017,29.3,20.5,733.4,756.4,78,1,73
28.06.2017,32.9,21.9,731.6,754.3,73,1,83
29.06.2017,30.8,24.4,730.5,753.3,65,1,71
30.06.2017,31.4,23.5,729,751.7,73,1,68
01.07.2017,33.7,24,727.5,750,67,1,57
02.07.2017,36.2,25.5,728.3,750.7,59,1,60
03.07.2017,35.7,26.5,729.4,752.1,86,1,63
04.07.2017,36.7,25.4,728.5,750.9,64,1,79
05.07.2017,33,27.5,727.8,750.1,60,1,55
06.07.2017,29,25.1,729.5,752.2,82,1,33
07.07.2017,26.3,24.6,730.6,753.4,86,2,39
08.07.2017,29.6,24.2,731.4,754.3,90,1,54
09.07.2017,31.5,23.4,730,752.7,71,1,47
10.07.2017,35.9,23.4,729.5,752,65,2,57
11.07.2017,38,26.2,730.7,753.1,56,1,44
12.07.2017,36,28.9,729.7,752,49,2,47
13.07.2017,35.2,28.5,727.3,749.5,51,1,47
14.07.2017,29.9,24.1,729.9,752.5,81,1,42
15.07.2017,34.2,26,730.4,752.9,71,1,48
16.07.2017,35.3,27.1,731.4,754,68,1,46
17.07.2017,36.4,26.5,731,753.4,70,2,55
18.07.2017,37,28.2,729.4,751.7,65,2,45
19.07.2017,32.6,24.9,728.7,751.2,76,1,21
20.07.2017,35.1,27.3,730.2,752.6,59,2,31
21.07.2017,37.6,27.8,730.9,753.1,50,3,33
22.07.2017,38.2,30.5,731.4,753.6,42,1,34
23.07.2017,39.3,29.4,729.7,751.9,47,1,25
24.07.2017,38.9,30.5,728.3,750.4,48,2,28
25.07.2017,39,27.1,728.2,750.3,54,1,22
26.07.2017,40.2,31.8,726.4,748.3,36,4,24
27.07.2017,41.4,31.3,727.7,749.7,44,2,10
28.07.2017,41.3,32.1,729,751,46,2,16
29.07.2017,39.2,30.5,728.9,751.3,66,2,23
30.07.2017,37,28.8,726.7,748.8,55,1,12
31.07.2017,39.3,29.7,725.8,747.9,55,2,13
01.08.2017,39.1,30.4,726.9,749,52,2,12
02.08.2017,37.4,30.1,725.8,748.1,63,1,18
03.08.2017,39.5,28.8,726,748.3,63,2,14
04.08.2017,38.5,29.3,728.5,750.9,70,3,15
05.08.2017,38.4,27.9,729.6,752.2,81,2,17
06.08.2017,39.9,27.9,726.5,748.6,53,2,10
07.08.2017,39.2,30.8,725.6,747.9,69,5,17
08.08.2017,29.3,23.5,730.7,753.6,82,1,18
09.08.2017,33.3,23.4,729.7,752.2,65,0,13
10.08.2017,34,26.5,728.6,751,66,2,10
11.08.2017,29.5,21.9,730.5,753.5,87,2,7
12.08.2017,28.4,22.3,730.6,753.5,85,1,10
13.08.2017,33.4,24.2,730.5,753.1,69,2,7
14.08.2017,35,25.9,729.8,752.3,66,2,5
15.08.2017,35.3,27.1,729.5,751.8,58,1,16
16.08.2017,35.3,28.9,729,751.4,66,2,5
17.08.2017,36.5,28,728.2,750.4,47,1,10
18.08.2017,36.3,29.4,729.1,751.4,49,1,13
19.08.2017,38,29,728.3,750.5,54,2,10
20.08.2017,39.2,29.9,727.1,749.2,47,0,13
21.08.2017,38.8,30.7,726,748,47,1,9
22.08.2017,40,31.5,727.2,749.2,49,2,11
23.08.2017,38.1,30.7,730.1,752.5,72,2,12
24.08.2017,31.9,26.5,731.8,754.4,75,1,8
25.08.2017,31.3,25.1,733.2,756.1,91,2,9
26.08.2017,36.8,26.1,730.2,752.5,51,2,14
27.08.2017,37.4,27.9,730.7,753,50,1,13
28.08.2017,35.7,28.3,731.7,754,51,2,9
29.08.2017,34.8,26.5,733.2,756,93,2,11
30.08.2017,33.8,26.6,733.8,756.6,78,3,12
31.08.2017,25.1,23.6,733.5,756.5,85,2,12
01.09.2017,24.9,22.2,731.7,754.8,93,1,12
02.09.2017,23.6,21.5,732.7,755.8,83,1,11
03.09.2017,27.1,22.4,733.4,756.4,81,1,8
04.09.2017,23.9,22.5,733,756.1,94,2,8
05.09.2017,23.9,22,735.7,758.9,84,1,9
06.09.2017,26.2,22.2,736.1,759.3,80,1,15
07.09.2017,30.7,21,732.6,755.5,72,2,9
08.09.2017,30.4,23.7,730.7,753.4,74,2,13
09.09.2017,25.3,23.4,731.9,754.9,94,1,10
10.09.2017,29,22.7,736.3,759.5,78,2,14
11.09.2017,30.2,21.2,736.5,759.7,76,1,10
12.09.2017,31.8,21.3,735.9,758.9,68,2,15
13.09.2017,32.7,22.9,736.2,759.1,57,1,13
14.09.2017,31.1,24.3,735.6,758.5,65,2,13
15.09.2017,31.9,25,735.7,758.5,66,2,23
16.09.2017,33,25.1,734.6,757.4,63,2,14
17.09.2017,30.9,26.3,733.1,755.9,75,2,16
18.09.2017,27,24.1,732.4,755.3,82,2,18
19.09.2017,24.2,21.4,735.8,759.1,89,1,19
20.09.2017,24.3,20.3,736.4,759.7,87,1,14
21.09.2017,25.3,21.6,735.6,758.8,81,0,15
22.09.2017,26,21.5,735,758.1,79,1,29
23.09.2017,23.7,21.5,733.6,756.7,82,1,19
24.09.2017,24.5,21.8,731.6,754.6,83,1,25
25.09.2017,26.7,23.1,731.4,754.3,81,1,26
26.09.2017,31,24.2,732.7,755.5,79,2,33
27.09.2017,25.2,20.8,737.8,761.2,75,2,25
28.09.2017,22.1,20.5,736.3,759.7,86,1,23
29.09.2017,20.9,19.7,737.5,761,93,2,25
30.09.2017,23.1,19.4,733.5,756.7,87,1,31
01.10.2017,24.4,21.1,735.2,758.4,88,1,47
02.10.2017,25.4,21.7,735.9,759.1,88,2,45
03.10.2017,22.2,18.1,738.4,762.1,93,2,31
04.10.2017,18,17,741,764.8,83,1,36
05.10.2017,19.7,16.5,738.5,762.1,88,1,39
06.10.2017,20.5,18.7,736.3,759.7,86,1,30
07.10.2017,23.2,19.8,736,759.3,86,1,36
08.10.2017,27.3,20.6,735.4,758.6,82,1,43
09.10.2017,30,22.3,735.4,758.5,82,2,43
10.10.2017,22.4,15.1,743.2,767.3,88,3,28
11.10.2017,16.9,13.9,741.2,765.1,94,2,32
12.10.2017,17.4,15.7,741.2,765.1,89,1,41
13.10.2017,17.5,16.1,739.6,763.4,95,1,34
14.10.2017,18.3,16.1,740.6,764.4,93,1,45
15.10.2017,19.7,16.9,742.7,766.5,87,1,38
16.10.2017,21.6,17.3,742.8,766.6,87,3,49
17.10.2017,17.1,15.8,742.6,766.5,90,2,48
18.10.2017,19,16.1,742.3,766.1,88,2,35
19.10.2017,21.3,16.7,739.7,763.4,84,2,29
20.10.2017,21.2,17.6,740.5,764.1,82,1,51
21.10.2017,19.1,17.7,740.7,764.5,94,1,31
22.10.2017,17.5,14.8,742.4,766.5,92,1,36
23.10.2017,16,14.9,742.8,766.8,92,1,43
24.10.2017,20.7,15.4,739.2,762.9,73,2,40
25.10.2017,17.9,15.8,744,768,87,0,41
26.10.2017,18.6,15.8,742,766,94,1,54
27.10.2017,20,15.4,740.1,764,86,2,45
28.10.2017,22.2,13.9,744.2,768.1,83,1,54
29.10.2017,21,17.5,746.3,770.2,82,1,50
30.10.2017,22.2,16.5,743.6,767.6,77,2,50
31.10.2017,23.1,14.1,741.4,765.2,75,2,62
01.11.2017,20.1,17.1,741.8,765.7,82,1,53
02.11.2017,21.9,15,743.6,767.5,82,1,50
03.11.2017,22.5,14.4,747.1,771.1,86,2,52
04.11.2017,20.5,15.2,744.6,768.5,86,1,42
05.11.2017,22.8,14.6,740.7,764.6,74,1,61
06.11.2017,22.1,14.1,741.3,765.1,78,1,65
07.11.2017,23,16.2,742.5,766.3,84,1,50
08.11.2017,24,14.9,737.1,760.7,74,1,64
09.11.2017,24.7,16.2,737.2,760.6,63,2,60
10.11.2017,19.6,16,741.3,765.2,72,2,53
11.11.2017,16.4,14.5,739.9,763.8,76,2,40
12.11.2017,16.3,15.2,739.1,763,82,1,42
13.11.2017,19.2,14.9,739.4,763.4,85,1,62
14.11.2017,19.7,14.3,741.1,764.9,79,1,56
15.11.2017,19,16.1,736.7,760.3,72,2,61
16.11.2017,19.1,16.9,735.1,758.7,77,1,61
17.11.2017,20.3,16.7,740.5,764.2,80,2,61
18.11.2017,17.3,14.4,741.4,765.5,90,1,38
19.11.2017,14.7,12.2,745.8,770.2,76,1,55
20.11.2017,10.9,10.4,745.1,769.6,87,1,60
21.11.2017,11,9.5,746,770.5,78,1,61
22.11.2017,11.7,10,747.7,772.3,82,0,66
23.11.2017,10.3,9.4,749.3,774,83,2,64
24.11.2017,13.6,9.5,746.1,770.8,89,2,59
25.11.2017,14.1,8.1,747.6,772.3,87,2,60
26.11.2017,15.6,7.6,741.2,765.5,79,2,47
27.11.2017,13.5,11.4,740.3,764.5,74,1,50
28.11.2017,14,12.3,743.3,767.6,85,2,43
29.11.2017,13.6,11.9,745.6,769.9,80,1,42
30.11.2017,14.1,11.2,745.9,770.3,85,1,41
01.12.2017,13,11.6,745.8,770.2,80,2,39
02.12.2017,13.3,10.2,742.5,766.8,77,2,26
03.12.2017,14.3,11.4,746.4,770.9,89,1,43
04.12.2017,13,10,746.1,770.5,81,1,40
05.12.2017,13,10.8,738.2,762.4,85,2,33
06.12.2017,12.8,12,740.9,765.2,82,2,36
07.12.2017,12.1,11.2,748.5,773.1,91,2,38
08.12.2017,11.1,9.4,747,771.7,86,2,25
09.12.2017,14.4,7.3,740.5,764.8,70,2,32
10.12.2017,12.8,10.4,743.6,768,78,1,37
11.12.2017,12.2,9.6,740.8,765.1,81,1,28
12.12.2017,12.4,11.1,739.7,764,73,1,30
13.12.2017,10.2,9.1,742.7,767.2,78,2,41
14.12.2017,10.9,9.5,743.5,768,69,1,26
15.12.2017,11.1,8.7,749.6,774.3,74,1,35
16.12.2017,13.2,9.1,751.2,776.1,89,2,39
17.12.2017,9.5,8,751.3,776.2,89,0,26
18.12.2017,11.7,7.9,753.2,778.2,84,1,33
19.12.2017,12.5,5,754.5,779.6,85,1,36
20.12.2017,11.7,6.4,750.3,775.3,81,1,29
21.12.2017,10.5,5.7,744.5,769.3,82,1,19
22.12.2017,9,5.2,742.9,767.8,89,2,32
23.12.2017,11.5,5.5,746.4,771.2,88,1,31
24.12.2017,12.3,5.4,743.7,768.4,87,2,28
25.12.2017,8.8,6.2,743.7,768.4,81,2,25
26.12.2017,11.2,7.9,745.2,769.9,85,1,25
27.12.2017,10.9,7.6,740.2,764.8,92,1,26
28.12.2017,10.5,7.1,743.2,767.8,84,2,26
29.12.2017,9,8.3,749,773.9,92,1,32
30.12.2017,12.4,8,749.2,774,81,1,21
31.12.2017,11.9,6.2,741.2,765.7,77,2,22
01.01.2018,10.8,8.7,740,764.4,79,1,24
02.01.2018,9.7,9.3,742,766.5,83,1,17
03.01.2018,9.2,8.2,741,765.6,96,1,14
04.01.2018,7.9,7,742,766.7,90,0,20
05.01.2018,7.8,6.5,736.3,760.9,95,1,20
06.01.2018,8.8,6.6,738.8,763.4,94,2,15
07.01.2018,7,5.6,743.2,768.1,82,2,17
08.01.2018,8.1,5.1,749.8,775,71,1,16
09.01.2018,10.6,2.2,750.5,775.7,71,1,21
10.01.2018,11.6,2.6,749.4,774.5,65,1,26
11.01.2018,12.2,4.1,749.3,774.4,68,2,15
12.01.2018,10.5,3.6,744.2,768.8,59,1,14
13.01.2018,9.2,7.2,745.1,769.9,74,1,17
14.01.2018,13.3,3.8,740.2,764.8,74,1,14
15.01.2018,9.3,5.2,740.9,765.5,81,2,9
16.01.2018,11.3,6.9,738.9,763.5,87,2,16
17.01.2018,10.2,6,738.9,763.3,80,1,11
18.01.2018,9.8,8.8,743.3,767.9,93,1,13
19.01.2018,11.9,9.2,742.4,767,86,1,14
20.01.2018,10.4,9.1,741.3,765.8,83,1,9
21.01.2018,13.1,8.8,740.2,764.7,87,1,9
22.01.2018,11.3,6.7,738.7,763,83,0,9
23.01.2018,12,9.1,735.5,759.7,81,2,12
24.01.2018,11.1,8.8,732.9,757.2,93,1,15
25.01.2018,8.1,4.7,743,768,95,3,12
26.01.2018,5.5,4.2,740.8,765.7,73,2,12
27.01.2018,5.7,3.8,743.6,768.6,75,0,11
28.01.2018,5.6,4,748.5,773.6,75,2,11
29.01.2018,6.5,4,746.6,771.6,78,0,9
30.01.2018,7.9,5.1,747.3,772.3,71,1,17
31.01.2018,9.9,4.4,747.9,773,56,0,9
01.02.2018,7,4.6,748.8,773.8,64,1,11
02.02.2018,10,5.1,749.5,774.5,62,1,8
03.02.2018,11.5,5.3,748.1,772.9,43,3,6
04.02.2018,8.8,6.5,750.6,775.6,65,1,4
05.02.2018,7.9,4.8,748.8,774,79,2,5
06.02.2018,9.8,3.1,744.9,769.7,69,1,2
07.02.2018,10.5,5.4,745.3,770.1,74,1,3
08.02.2018,12.1,5.6,736.9,761.2,58,1,1
09.02.2018,10.8,8.6,740.3,764.8,71,1,4
10.02.2018,8.7,5.7,747.6,772.6,87,1,2
11.02.2018,7.4,5.9,749.9,774.9,88,1,3
12.02.2018,8.3,6.8,747.8,772.7,91,1,2
13.02.2018,11.4,6.8,739,763.4,77,1,2
14.02.2018,13.9,8.6,737.6,761.8,72,1,3
15.02.2018,14.1,9.7,739.9,764.3,84,1,4
16.02.2018,17.2,7.1,735.4,759.5,71,0,1
17.02.2018,13.4,8.2,736,760.1,77,1,1
18.02.2018,13.7,9.9,738.9,763.3,93,1,2
19.02.2018,14,9.3,739.5,763.8,80,3,4
20.02.2018,16.3,10.3,739.8,764,74,3,1
21.02.2018,11.1,9.5,742,766.5,92,1,5
22.02.2018,10.9,8.8,744.7,769.4,86,1,3
23.02.2018,15.7,7.4,740,764.2,65,1,3
24.02.2018,15.6,11,744.5,769,76,2,3
25.02.2018,19.2,8.9,740.9,765.1,74,1,5
26.02.2018,16,10.2,737.6,761.6,69,1,6
27.02.2018,16.6,12.6,736.9,761,86,1,2
28.02.2018,19.5,9.6,731.9,755.6,68,1,2
01.03.2018,23.3,14.2,734,757.6,67,1,2
02.03.2018,21.6,14.9,731.1,754.6,71,1,5
03.03.2018,24.2,14.1,725.1,748.3,69,1,5
04.03.2018,20,14.4,737.1,761,66,4,7
05.03.2018,15.3,12.5,739.5,763.7,86,2,4
06.03.2018,12.1,11.7,740.5,764.8,94,1,6
07.03.2018,14.8,10.7,746.3,770.7,82,0,9
08.03.2018,20.6,10.3,744.6,768.8,55,2,9
09.03.2018,24.2,9.8,739,762.8,45,1,6
10.03.2018,21.2,12.8,739,762.9,58,2,6
11.03.2018,19.4,13.8,739.9,763.9,76,2,6
12.03.2018,18.4,13.1,737.1,760.9,74,1,5
13.03.2018,18.6,13.7,735.9,759.7,90,1,9
14.03.2018,23.2,13.7,734.7,758.3,76,1,5
15.03.2018,25.7,13.9,733.4,756.9,71,2,5
16.03.2018,27.9,15.5,731.2,754.3,53,1,6
17.03.2018,25.3,18.9,732.2,755.6,73,3,4
18.03.2018,17.5,13.6,737.5,761.5,81,2,4
19.03.2018,17.7,12.1,739.3,763.4,86,0,5
20.03.2018,21.9,12.6,741.5,765.4,61,2,11
21.03.2018,21.7,13.8,740.3,764.2,72,1,12
22.03.2018,24.2,13,736.5,760.1,59,2,5
23.03.2018,18.3,15.5,737.7,761.5,71,1,12
24.03.2018,15.9,14.3,741.1,765.1,96,1,6
25.03.2018,19.8,14.6,742.5,766.5,90,1,10
26.03.2018,22.5,14,741,764.7,80,1,14
27.03.2018,18.8,15.9,738.4,762.2,91,1,11
28.03.2018,16.3,15.4,737,760.8,95,0,10
29.03.2018,22.2,15.3,737.1,760.8,87,1,14
30.03.2018,22.4,15,737.9,761.4,81,1,17
31.03.2018,19,17.7,739.3,763,97,0,14
01.04.2018,24,17.7,736.7,760.2,82,0,16
02.04.2018,29,15.6,733.3,756.7,67,1,25
03.04.2018,32.1,16.4,731.5,754.6,55,1,29
04.04.2018,30.6,19.3,726.8,749.5,64,0,28
05.04.2018,21.6,13.2,742.3,766.5,79,1,16
06.04.2018,18.7,12,749.8,774.1,73,1,20
07.04.2018,22.8,13.4,741.4,765.3,49,1,21
08.04.2018,25.5,14.8,735.9,759.4,59,1,18
09.04.2018,29.2,15.2,730.1,753.2,59,1,22
10.04.2018,29.4,18.3,731.7,754.6,56,1,24
11.04.2018,27.9,21.8,729,751.9,69,2,28
12.04.2018,25.5,22.3,728.5,751.4,75,2,26
13.04.2018,22,13.8,738.4,762.4,93,3,24
14.04.2018,13,12,743.6,767.9,88,1,21
15.04.2018,18.7,12.5,741.6,765.6,65,1,23
16.04.2018,23.7,12.6,737.6,761.3,62,3,29
17.04.2018,29.4,14.6,735.2,758.5,60,1,40
18.04.2018,31.8,17.7,730.7,753.6,57,1,39
19.04.2018,31.1,19.9,728,750.7,49,2,34
20.04.2018,27.4,21.7,730.9,754,76,2,23
21.04.2018,27.8,19.8,729.8,752.8,75,2,36
22.04.2018,25.9,20.4,731.7,754.8,81,1,37
23.04.2018,23.2,20.6,735.5,758.8,90,1,45
24.04.2018,20.6,18.6,737.4,761,86,2,29
25.04.2018,19,17.3,737.9,761.6,88,2,23
26.04.2018,26.7,17.2,739.2,762.7,72,1,38
27.04.2018,27.2,18.2,738.2,761.5,66,1,37
28.04.2018,28.8,20,734.3,757.4,65,2,57
29.04.2018,30.3,21.6,732.8,755.8,65,1,50
30.04.2018,31,20.6,732,754.9,65,1,55
01.05.2018,26.7,22.5,736.3,759.5,88,1,42
02.05.2018,26.5,19.4,739.2,762.5,78,1,60
03.05.2018,24.8,20.1,737.1,760.6,84,1,73
04.05.2018,27.8,19.3,730.5,753.5,71,2,72
05.05.2018,25.4,20.5,730.3,753.4,94,2,54
06.05.2018,24.1,15.3,733.8,757.1,72,1,57
07.05.2018,27.8,19,732.2,755.3,67,2,43
08.05.2018,28.8,19.9,733.5,756.7,76,1,64
09.05.2018,22.3,18.5,739,762.7,87,1,70
10.05.2018,21.2,18.4,735.5,759,92,2,68
11.05.2018,22.6,18.1,736.2,759.6,86,1,45
12.05.2018,29,19.2,735,758.2,75,1,56
13.05.2018,32.6,19.6,730.1,753,51,2,53
14.05.2018,33.7,21.9,723.7,746.2,53,1,66
15.05.2018,36.7,23,723,745.3,57,2,85
16.05.2018,37.4,25.2,724,746.2,58,2,76
17.05.2018,33.9,22.3,730.4,753.4,86,2,68
18.05.2018,28.9,22.2,730,752.9,80,2,69
19.05.2018,30.2,22.4,728.5,751.1,79,2,75
20.05.2018,31.6,21.9,727.3,749.8,75,3,79
21.05.2018,35.4,26.3,728.6,751.1,74,3,100
22.05.2018,27.4,16.7,740.1,763.9,79,2,63
23.05.2018,25,17.8,732.1,755.2,72,2,120
24.05.2018,21.9,19.5,727.8,750.9,82,1,93
25.05.2018,26.8,20.5,730.5,753.4,81,2,114
26.05.2018,24,17.6,739,762.7,95,2,118
27.05.2018,22.6,17.2,737.6,761,78,0,97
28.05.2018,26.7,19.3,734.4,757.5,71,0,106
29.05.2018,24.5,21.8,735.7,758.9,70,0,121
30.05.2018,23.7,20.8,737.1,760.5,89,0,111
31.05.2018,23.2,19.4,737.4,760.8,86,1,107
01.06.2018,23,20.4,737.7,761.1,85,1,91
02.06.2018,26.2,20.3,735.6,758.8,81,1,101
03.06.2018,26.7,20.5,735.2,758.3,77,1,85
04.06.2018,26,20.9,736,759.1,77,1,123
05.06.2018,32.2,21.4,733.3,756.2,61,2,82
06.06.2018,34.9,22.1,731.3,754,60,2,108
07.06.2018,35.3,23.8,730,752.6,60,2,103
08.06.2018,27.1,21.7,734.3,757.5,77,1,116
09.06.2018,30.5,20.1,731.5,754.3,58,1,83
10.06.2018,32.3,24.6,729.6,752.3,55,2,106
11.06.2018,26.7,20.8,730.5,753.7,93,1,109
12.06.2018,27.4,20.3,728.7,751.6,77,2,109
13.06.2018,28.6,22.5,729.7,752.5,77,1,123
14.06.2018,28.1,23.1,731.7,754.6,68,1,84
15.06.2018,23.8,21.6,731.4,754.4,81,1,76
16.06.2018,23.7,22.5,730.2,753.3,88,1,88
17.06.2018,27.1,21.4,727,749.8,83,2,97
18.06.2018,24.5,22.7,727.5,750.4,95,0,109
19.06.2018,29.1,23,729.2,752,90,1,119
20.06.2018,27,24.3,730.1,752.9,92,2,116
21.06.2018,24.6,23.6,730,752.9,92,3,116
22.06.2018,28.9,23,728.9,751.7,88,1,116
23.06.2018,33.5,24.3,727.9,750.4,75,1,119
24.06.2018,34.1,26.1,727.3,749.8,82,1,156
25.06.2018,35.9,25.9,727.2,749.4,51,1,163
26.06.2018,36.1,28.1,728.8,751.1,55,1,189
27.06.2018,36.5,30.2,728.5,750.7,51,3,167
28.06.2018,37.3,28.6,726.7,748.9,61,2,184
29.06.2018,35.6,29.5,724.5,746.7,70,2,196
30.06.2018,32.5,26.8,727.5,749.9,73,0,186
01.07.2018,33.6,27.1,724,746.2,71,1,201
02.07.2018,34,28.9,723.3,745.6,75,3,177
03.07.2018,28.2,25.3,723.1,745.6,84,2,168
04.07.2018,27.6,25.3,724.8,747.4,89,1,205
05.07.2018,29.1,26.2,726.6,749.2,82,0,206
06.07.2018,29.4,26.2,728.8,751.4,86,1,202
07.07.2018,28.9,25.1,729,751.6,78,1,226
08.07.2018,34.7,25.9,729.2,752,89,2,210
09.07.2018,33.1,24.9,729.3,751.9,82,2,274
10.07.2018,36.2,27.3,726.4,748.5,51,2,287
11.07.2018,36.4,29.4,728.8,751.3,76,2,293
